source,breadth,n_genes,n_positive,fraction,ci_low,ci_high
PanelApp,0,14242,290,0.020362308664513412,0.018139156854494666,0.022780355742248737
PanelApp,1,2284,63,0.027583187390542906,0.021452092239978664,0.03490991890086875
PanelApp,2,833,16,0.01920768307322929,0.011473896963291886,0.03026690872294346
PanelApp,3,460,15,0.03260869565217391,0.019184159427749165,0.051877774287427736
PanelApp,4,264,8,0.030303030303030304,0.014428328988576038,0.056359907549646024
PanelApp,5,206,13,0.06310679611650485,0.035831720357922224,0.10252715480795875
PanelApp,6,103,11,0.10679611650485436,0.058083160544751995,0.17720002280398173
HPO,0,14242,2075,0.14569582923746666,0.1399738631644139,0.15156178275966511
HPO,1,2284,390,0.17075306479859895,0.1557426429560153,0.18659729339028402
HPO,2,833,141,0.16926770708283315,0.14497098448488613,0.19585786961027454
HPO,3,460,84,0.1826086956521739,0.1493515539649607,0.219844770855979
HPO,4,264,48,0.18181818181818182,0.13889294174777808,0.23167415106187317
HPO,5,206,43,0.2087378640776699,0.15753329105745012,0.26805922184557074
HPO,6,103,32,0.3106796116504854,0.2274891048780014,0.40434144192749827
ClinVar,0,14242,409,0.028717876702710293,0.026069959541968734,0.03155730297204599
ClinVar,1,2284,87,0.03809106830122592,0.030816714212017222,0.046534704361265555
ClinVar,2,833,31,0.03721488595438175,0.025922046913131633,0.051713122218913075
ClinVar,3,460,21,0.04565217391304348,0.029343454012694132,0.06764735539240029
ClinVar,4,264,11,0.041666666666666664,0.02233605438857844,0.07094864279140699
ClinVar,5,206,12,0.05825242718446602,0.032235211153223246,0.09654624699705996
ClinVar,6,103,13,0.1262135922330097,0.07263324248881053,0.2004268816781604
