site,breadth,n_genes,median_z,q25,q75
Femoral neck,0,14235,0.040812,-0.610185,0.71358
Femoral neck,1,2283,0.25733,-0.463205,0.947235
Femoral neck,2,833,0.44776,-0.29731,1.1949
Femoral neck,3,460,0.5569500000000001,-0.2022725,1.3638
Femoral neck,4,264,0.62713,-0.1651875,1.521825
Femoral neck,5,206,0.760555,-0.08423325000000001,1.67595
Femoral neck,6,103,2.4282,1.38235,3.9177999999999997
Lumbar spine,0,14235,0.017256,-0.65433,0.7016249999999999
Lumbar spine,1,2283,0.22131,-0.48424,0.97497
Lumbar spine,2,833,0.38559,-0.39242,1.2324
Lumbar spine,3,460,0.42665,-0.3828125,1.144825
Lumbar spine,4,264,0.567385,-0.249635,1.52075
Lumbar spine,5,206,1.0840999999999998,0.31063999999999997,2.199525
Lumbar spine,6,103,2.1159,0.58239,3.2340999999999998
Forearm,0,14235,0.077307,-0.5619000000000001,0.7141649999999999
Forearm,1,2283,0.074296,-0.6566050000000001,0.740775
Forearm,2,833,0.18489,-0.48167,0.83693
Forearm,3,460,0.13582,-0.50749,0.8497775000000001
Forearm,4,264,0.23226000000000002,-0.5733325,1.1044
Forearm,5,206,0.414655,-0.23273,1.1278000000000001
Forearm,6,103,0.64512,0.028003,1.7258
