pathway,layer,n_hits,n_layer,background_fraction,odds_ratio,ci_low,ci_high,p
FGF signaling,Shared layer,6,103,0.004240974336668117,16.751724137931035,7.327915743496914,38.29468997953135,4.936393021910873e-06
FGF signaling,Site-specific layer,0,36,0.004240974336668117,3.1896867638076953,0.19404830563654807,52.430767781431044,1.0
Ossification,Shared layer,12,103,0.02147672901261418,6.378730559058428,3.502051200604093,11.61839196926854,2.1449253796010925e-06
Ossification,Site-specific layer,3,36,0.02147672901261418,4.781880406882783,1.582914783647097,14.44574304438829,0.041630894794337694
"Wnt, canonical",Shared layer,9,103,0.016093953892996955,6.294870025304808,3.198014875976159,12.390620485586624,4.2882492922842247e-05
"Wnt, canonical",Site-specific layer,2,36,0.016093953892996955,4.444403434954849,1.2247681887954334,16.127722840405728,0.11389685151862254
"Wnt, all",Shared layer,11,103,0.023053501522401043,5.374809634301775,2.8897451098145344,9.996929662366401,2.553665990276422e-05
"Wnt, all",Site-specific layer,2,36,0.023053501522401043,3.0759797615984907,0.8489651103379209,11.144923835559513,0.201191842096839
Cartilage development,Shared layer,5,103,0.010439321444106133,5.390930626057529,2.256885737431627,12.877095429757206,0.004513651673169389
Cartilage development,Site-specific layer,2,36,0.010439321444106133,6.9103046901745975,1.8990627966324367,25.14519846090771,0.054175613543109846
BMP signaling,Shared layer,1,103,0.00777511961722488,1.863671373555841,0.3686683884527732,9.421125047330833,0.5534542042486846
BMP signaling,Site-specific layer,1,36,0.00777511961722488,5.400889547813195,1.04548041427578,27.900673708827004,0.24517314540957102
Hedgehog signaling,Shared layer,1,103,0.007013919095258808,2.068311663661384,0.4087794747355553,10.465087907863179,0.5166450911153281
Hedgehog signaling,Site-specific layer,1,36,0.007013919095258808,5.993916808242451,1.159239157642701,30.991912641381596,0.22402348692430235
TGF-beta signaling,Shared layer,0,103,0.010602435841670291,0.44712554208829086,0.027680318290636573,7.222505474417733,1.0
TGF-beta signaling,Site-specific layer,1,36,0.010602435841670291,3.9456533545747496,0.7654612185556585,20.338300644208243,0.3189319560536032
Notch signaling,Shared layer,3,103,0.009351892127011744,3.7230807613848165,1.2688635460210362,10.92420883180132,0.0722826389498474
Notch signaling,Site-specific layer,2,36,0.009351892127011744,7.729397764460879,2.1222194407625845,28.151466645591075,0.044511966278752396
