gene,breadth,FRAK,HEEL,mendelian,panelapp,head,arms,legs,pelvis,fn,ls,gefos_fn_z
WNT16,6,7.9642,7.9545,0,0,7.2916,6.1094,6.1094,3.922,5.771,4.7071,3.8138
SLC26A1,6,7.8525,8.0265,1,0,7.4756,7.8573,6.1094,6.3258,5.8006,4.5536,4.3687
FGFRL1,6,7.8448,7.6164,1,0,7.434,7.4529,7.5532,6.3996,5.8432,4.5766,4.7004
FAM3C,6,7.6353,10.208,0,0,6.1094,7.0671,6.1094,4.5379,6.1975,5.6061,3.2234
CPED1,6,7.2149,10.324,0,0,8.1898,8.8366,7.1978,3.5054,3.0921,3.1041,2.2705
IDUA,6,6.7916,7.5587,1,1,6.7372,6.1094,8.1004,5.8128,5.4257,4.1922,3.4697
CCDC170,6,6.7083,10.12,0,0,5.3076,7.6032,7.2925,6.5557,5.7259,7.3299,7.2106
DGKQ,6,6.6446,7.0118,0,0,6.313,7.2758,6.1094,5.5002,5.0481,3.959,3.2211
PPP6R3,6,6.0278,7.2006,0,0,7.1847,5.1204,4.6768,7.1992,4.5093,7.8665,4.9464
LRP5,6,5.2043,9.4471,1,1,7.8714,4.4043,4.6099,6.8969,3.6487,7.8521,4.2492
SOX6,6,5.0421,10.629,1,0,8.3585,8.6915,7.5867,9.5029,7.2696,7.4094,5.5376
SHFM1,6,4.9208,6.1094,0,0,3.3509,5.1869,4.9047,4.0486,2.978,3.9294,5.5985
F2,6,4.8908,6.1094,0,0,4.7801,2.2506,4.1271,4.0487,4.3624,4.5469,4.0969
PACSIN3,6,4.6754,7.203,0,0,7.3089,3.2829,5.8555,5.0976,4.4196,4.7996,3.837
C11orf49,6,4.6459,7.9473,0,0,6.1094,3.0988,5.8662,5.3764,4.726,5.225,3.5085
CKAP5,6,4.5935,7.7519,0,0,6.7048,2.9084,4.3031,4.4241,4.0477,4.2551,2.6772
ARFGAP2,6,4.5733,6.1094,0,0,8.1641,3.112,5.7997,5.1164,4.5315,4.7821,3.8883
ZNF408,6,4.5703,7.2121,1,0,5.8964,2.8948,4.8635,4.8055,4.9429,5.0293,4.4522
ARHGAP1,6,4.5609,6.1094,0,0,4.8439,2.4166,4.3487,4.2668,4.5742,4.7153,4.0923
GAK,6,4.5111,7.2811,0,0,3.0434,4.7261,5.1465,3.6707,3.3914,2.0682,1.834
PIGL,6,4.3459,-0.276,1,0,3.8999,3.2173,3.6154,2.2941,3.9849,3.7884,-0.28769
ESR1,6,4.3146,11.273,1,0,4.3629,7.0901,6.8508,7.3452,5.7182,8.655,4.2188
C11orf58,6,4.2911,6.1094,0,0,3.2651,5.0177,4.0492,5.2887,2.8484,3.2421,3.9473
C7orf76,6,4.2368,7.9615,0,0,6.2988,7.5458,6.1094,6.1094,6.927,7.55,7.7207
TMEM175,6,3.9521,7.1292,0,0,3.2109,4.7255,5.281,3.6365,3.5462,2.3029,1.3816
DGKZ,6,3.9385,7.37,0,0,6.1739,3.2885,4.4554,4.7302,4.5388,4.5202,3.0272
ATG13,6,3.8281,6.1094,0,0,6.0254,3.0682,5.069,4.8866,4.9531,5.1073,3.7037
DDB2,6,3.7763,6.1094,1,0,6.1094,3.2863,5.9075,5.0352,4.2102,4.747,3.3059
MDK,6,3.7472,6.1094,0,0,6.1649,3.2243,4.894,4.7413,4.9114,4.9806,3.3359
WLS,6,3.6879,10.095,1,0,5.9483,5.6463,5.5717,8.9892,7.6115,7.8809,6.8592
AMBRA1,6,3.6277,8.4643,0,0,6.274,3.2229,5.152,4.9016,5.0044,5.0699,3.7628
