gene	head	arms	legs	pelvis	fn	ls	frak	oto	heel	height	prop	fn2stu	ls2stu	fa2stu	thalamus	caudate	putamen	pallidum	hippocampus	amygdala	accumbens	chr	gene_start	gene_end
SAMD11	1.2957	3.1892	3.1859	3.1417	3.7927	2.923	2.2995	-0.92283	5.4577	3.6125	2.5337	-0.13052	-0.46871	0.42607	-1.4523	-0.20182	0.89789	-1.2041	-0.34713	-0.1232	0.57293	1	859993	879961
KLHL17	2.1416	4.7096	3.8439	2.9442	3.5092	3.2489	1.738	-0.18894	6.6222	3.5969	2.9374	0.62109	0.093822	0.8036	-1.073	0.094858	1.0448	-2.2116	-0.48752	-1.1036	0.19464	1	895967	901099
PLEKHN1	1.9637	4.646	3.875	2.9316	3.5216	3.161	1.4706	-0.084089	7.0401	4.8424	3.9265	0.29278	0.075902	0.65956	-0.47772	-0.25329	2.8209	-2.4865	0.11194	-0.60569	0.63531	1	901872	910488
NOC2L	1.8017	4.5795	3.7907	2.764	3.3778	3.2074	1.2379	-0.30884	6.4989	4.4158	4.4934	0.097385	0.30775	0.46607	-0.37642	-0.58044	3.3283	-1.6258	0.78384	0.41408	0.77348	1	879583	894679
PERM1	-0.72181	0.25472	0.88563	0.48999	0.74354	1.1256	0.5553	-0.45131	3.6198	4.5984	4.8347	-0.072665	0.68323	-0.43413	0.33549	-1.1157	4.8393	-0.27068	1.0325	1.6093	1.1217	1	910579	917473
ISG15	-0.77439	-0.57566	0.35235	0.45762	0.98341	1.553	0.30065	-0.97133	2.3684	5.8205	4.785	0.18798	0.55088	0.044675	0.26801	-1.3659	4.8478	-0.087448	0.91362	1.9129	1.3791	1	948847	949920
AGRN	-0.037776	-0.75669	0.35702	0.2591	0.97296	1.9965	0.45735	-1.7369	2.1006	6.0458	4.6289	0.28038	0.088837	0.9894	0.24616	-1.2172	4.2692	-0.6096	0.5285	1.28	0.54629	1	955503	991499
HES4	-0.48149	-0.47381	0.37197	0.39528	1.1253	1.8775	0.4717	-1.6846	2.3349	5.0244	4.6724	0.57722	0.37261	0.51034	0.11397	-1.1564	4.6218	-0.036153	0.44193	1.7783	1.014	1	934342	936608
RNF223	-1.2749	-2.0532	-0.67296	-0.56562	-0.68474	1.1673	-0.50157	0.27291	1.0297	6.288	3.1995	-0.31114	0.62375	-0.88292	0.58644	0.97257	3.8316	-1.9077	0.79848	0.54608	1.2201	1	1007126	1009687
C1orf159	-1.2556	-0.11364	-0.29241	-1.3957	0.93817	0.14725	0.084349	0.8756	1.0907	5.0475	1.8711	-0.14403	0.49636	-0.85869	0.51403	0.95597	2.3686	-1.3267	0.87574	0.0024377	1.3839	1	1017198	1051736
TTLL10	0.15564	-1.3115	-0.67749	-1.1195	-0.47469	-0.30118	-0.15852	-1.884	2.3803	2.7357	1.2005	0.94574	-0.55275	-1.0142	-2.311	-0.27074	-0.24874	0.48693	-1.3636	-1.0872	0.073216	1	1109286	1133315
TNFRSF18	-0.88114	0.20391	0.58709	0.43618	-0.92082	-0.26379	-0.53928	-1.8772	3.7382	3.2773	0.72209	0.31489	-0.84393	0.23404	-0.89908	0.77028	-1.8131	1.1748	-0.0089239	-0.79731	-0.24203	1	1138888	1142163
B3GALT6	-1.1133	0.19031	0.49609	0.39317	-0.90244	-0.45698	-0.58234	-1.7713	3.8668	3.2	0.69222	0.016586	-0.7084	0.42076	-1.0067	0.86336	-1.9316	1.2368	0.14901	-0.87591	-0.26381	1	1167629	1170421
TNFRSF4	-1.1755	0.14332	0.46145	0.3777	-0.92565	-0.49606	-0.6437	-1.8554	3.6745	3.2538	0.64039	-0.2044	-0.68337	0.60155	-0.74895	0.89746	-1.9681	1.2159	0.25454	-0.76517	-0.28147	1	1146706	1149703
SDF4	-1.3089	0.35024	0.53279	0.36053	-1.0676	-0.74454	-0.58552	-1.721	3.7345	3.5889	0.67573	-0.37539	-0.34901	0.65156	-0.63972	1.0793	-1.7875	1.4716	0.033573	-0.90964	-0.4681	1	1152288	1167447
FAM132A	-0.84677	1.2561	1.0299	0.25636	-1.4087	-1.1544	-0.39338	-1.3688	2.5963	3.5992	0.90863	-0.67971	0.24951	0.45921	0.026762	1.2457	-1.3853	1.6626	-0.982	-1.1457	-0.029335	1	1177826	1182102
UBE2J2	0.24947	1.6527	1.6	0.60021	-1.5128	-0.89332	0.63211	-1.3049	2.5774	4.5562	1.0936	-0.093677	1.4288	0.20487	0.14774	1.2178	-0.75513	1.6165	-0.4729	-1.3569	0.33414	1	1189292	1209234
SCNN1D	0.085116	1.6737	1.5654	0.52766	-1.4745	-0.95864	0.33329	-1.2701	2.2555	3.8981	0.99686	-0.0042645	1.3276	0.27308	0.28684	1.3039	-0.76202	1.6842	-0.57689	-1.0838	0.45784	1	1215816	1227409
PUSL1	1.1547	1.7121	1.7902	0.74774	-1.4669	-0.26331	1.256	-1.7108	2.9504	4.4787	1.162	0.198	2.0588	0.26102	0.18175	0.96967	-0.85218	1.4959	-0.42546	-0.92461	0.55011	1	1243962	1247057
ACAP3	2.4044	1.471	1.8899	0.79414	-1.1467	0.38836	1.8362	-1.2271	3.7455	4.6725	1.4677	0.15843	2.7283	0.14269	0.076244	0.94738	-0.60662	0.94555	-0.0081793	0.13938	0.34582	1	1227764	1243304
CPTP	2.4415	1.5735	1.9318	0.83577	-1.3574	0.41895	2.0176	-1.2999	4.0622	4.7304	1.5773	0.19839	2.6492	-0.1199	0.035059	0.77479	-0.60067	0.75551	-0.071273	0.065342	-0.020204	1	1260136	1264276
TAS1R3	2.5384	1.3887	1.8761	0.76179	-1.2231	0.44289	1.9744	-0.97566	3.5898	4.6587	1.6955	0.090836	2.5125	-0.33029	0.29582	0.45034	-0.67331	0.55463	-0.176	0.31791	0.049359	1	1266726	1269844
CPSF3L	2.7387	1.12	1.5754	0.61371	-1.1408	0.79835	1.9889	-0.88058	4.0161	4.9862	1.6291	-0.21074	2.5536	-0.7655	0.37453	0.68255	-0.57414	0.34397	-0.05649	0.59142	0.13454	1	1246965	1260067
DVL1	2.7014	1.031	1.2552	0.47569	-0.8791	1.0959	2.2133	-0.57223	4.7816	5.7746	1.8373	-0.61883	2.5327	-1.361	0.48053	0.75208	-0.89776	1.3376	-0.47688	1.2871	0.67607	1	1270658	1284509
MXRA8	2.6639	1.0079	1.1562	0.44126	-0.6886	1.1135	2.1043	-0.5646	4.8766	6.1513	1.685	-0.46735	2.3792	-1.5842	0.51872	0.83097	-1.1021	1.8177	-0.71461	1.3416	0.70194	1	1288071	1297183
AURKAIP1	2.5221	0.69455	0.90773	0.076917	-0.63589	0.682	1.6011	-0.31347	4.9444	6.9877	1.7117	-0.44843	2.0732	-1.2946	0.37736	1.2345	-1.0436	1.9297	-0.69574	1.156	0.8478	1	1309110	1310818
CCNL2	2.4276	0.90548	1.1097	1.4004	-0.047851	1.6541	1.3744	-0.69368	3.1713	5.8284	1.136	0.1813	2.0782	-1.4321	0.96534	1.3679	-0.61788	1.1734	-0.29995	1.2613	0.90515	1	1321091	1334718
TMEM88B	2.1974	0.92329	1.3151	1.7485	0.048076	1.8823	0.98516	-0.62772	2.8872	6.0019	0.9968	0.065779	1.7695	-1.6291	1.0638	1.3186	-0.54449	0.90679	-0.27515	1.0952	1.0947	1	1361508	1363167
MRPL20	2.2031	0.83889	1.2189	1.6753	-0.19578	1.9	1.0141	-0.56633	3.1828	6.0019	0.9555	0.27292	1.8194	-1.6366	0.92231	1.2737	-0.26639	1.0206	-0.29073	1.1203	0.98844	1	1337276	1342693
VWA1	2.211	0.76415	1.0935	1.6004	-0.41041	2.014	1.067	-0.2715	3.2019	4.7584	0.73153	0.44776	1.6931	-1.6339	0.69202	1.123	-0.27568	1.1887	-0.40653	1.2241	0.74206	1	1370903	1378262
ATAD3C	2.0178	1.5026	1.2794	1.7257	0.15236	2.0989	1.0437	0.22181	3.1997	3.9937	0.26421	0.35913	1.3975	-2.1604	0.35382	0.69855	-0.80647	1.5741	-0.014566	0.5033	0.29733	1	1378152	1405538
ANKRD65	2.0665	1.0081	1.2689	1.8158	-0.36511	2.1609	1.0382	-0.15664	3.2624	3.9937	0.28354	0.59336	1.5204	-1.698	0.62594	0.92941	-0.41456	1.1859	-0.034211	1.0191	0.49483	1	1353800	1356824
ATAD3B	0.48975	1.6953	0.45934	0.64189	0.74062	0.72206	0.34171	0.91894	2.3032	1.986	0.42655	0.090672	0.42214	-1.592	-0.4821	0.069378	-1.3075	1.7242	-0.18711	-0.16144	-0.41416	1	1407139	1444852
ATAD3A	0.27832	1.5766	0.81016	0.87771	0.73249	0.15946	-0.23375	1.1189	0.70014	4.434	0.86465	-0.69812	-0.31665	-1.4418	0.18901	0.30524	-1.2788	1.5821	-0.19696	0.28011	-0.20603	1	1447523	1470067
TMEM240	1.2372	1.901	1.1371	1.1996	0.53453	-0.092304	-0.73505	2.0337	1.6531	5.4269	1.5205	-0.4818	-1.6188	-2.4351	-0.31673	0.24412	0.29146	2.6417	0.11227	0.29879	0.58496	1	1470158	1475740
SSU72	0.92984	1.5725	1.0834	0.61728	0.57722	0.5144	-0.3416	1.5262	1.3757	5.5703	2.9403	-0.32218	-2.9557	-1.0638	1.0158	0.58141	0.1404	2.8316	-0.58309	1.0165	0.51509	1	1477053	1510262
MIB2	0.29991	0.12546	1.5792	-0.60817	1.1773	1.3863	0.968	0.35454	1.0474	2.3814	3.8893	0.30022	-1.0718	0.43966	2.0733	0.82743	-0.95295	2.1081	-0.52195	1.0647	0.5655	1	1550795	1565990
C1orf233	-0.13137	-0.53581	1.0762	-0.8903	0.81912	1.168	0.80982	0.28944	0.94147	2.8748	3.8881	0.50739	-0.62233	0.42065	1.5928	0.89121	-0.94727	1.6795	-0.89944	1.1088	0.78038	1	1533388	1535476
MMP23B	-0.24406	-1.1842	0.92673	-1.2406	0.83598	0.10898	0.94004	0.29924	1.0519	2.8748	4.072	0.46363	-0.43556	0.47876	1.5303	0.77726	-0.84571	1.736	-0.54059	1.0601	1.0156	1	1567060	1570030
CDK11B	0.38309	-1.7698	-1.32	0.45193	0.49324	-0.58989	1.0592	1.0136	2.6092	0.93365	3.4433	1.2624	-0.5806	0.51248	0.9207	0.20653	-1.6398	1.2316	0.076891	0.99637	0.36857	1	1571100	1590473
SLC35E2B	0.60713	-2.0732	-1.3998	0.40042	0.47592	-0.46493	0.2166	0.072155	2.1536	0.34987	4.228	1.1577	0.1285	0.20892	0.1706	-0.34108	-1.9676	0.4135	0.093661	0.36173	0.06671	1	1591486	1624243
CDK11A	1.7018	0.25603	0.91982	2.032	-0.037153	1.4215	-1.3305	0.15108	1.1654	3.1623	5.3194	1.882	1.9445	1.1839	0.26251	1.689	-1.2857	1.1543	-0.37261	1.0107	0.59402	1	1633822	1655999
SLC35E2	1.165	1.3482	0.96985	1.9854	-0.34317	1.3047	-1.7768	0.26626	1.8548	3.2447	5.7766	2.2545	2.556	1.6398	0.56175	2.2462	-0.95869	1.5438	-0.30667	1.5117	0.88743	1	1656277	1677438
NADK	0.62789	1.5473	0.864	1.7598	-0.27423	0.71778	-1.5966	0.26248	2.3643	3.4149	5.777	2.5739	3.1716	2.298	1.0518	2.6514	-0.76097	1.6111	-1.8486	1.8724	1.1901	1	1682671	1711508
GNB1	0.73542	1.7054	0.79746	1.6505	-0.28458	0.48163	-1.571	-0.27945	2.1841	3.5023	6.4577	2.1577	2.7477	1.9576	1.1596	2.8193	-1.1782	0.76656	-1.0485	1.664	1.3428	1	1716725	1822552
CALML6	1.1637	1.258	0.7871	1.5866	0.0030206	0.92435	-1.6912	0.014437	1.7997	3.2022	5.8135	2.2659	2.3144	1.5888	1.4803	2.4594	-0.70148	0.94848	-0.40384	1.6938	1.3669	1	1846266	1848733
TMEM52	1.9425	0.8742	1.1213	1.9952	0.16404	1.5844	-1.6134	-0.20426	1.4675	2.9669	6.0988	2.483	2.3061	1.6668	1.9465	2.2721	-0.8654	1.0605	-0.52923	1.7735	1.2786	1	1849029	1850740
CFAP74	0.61953	0.39985	0.37792	1.087	0.11017	0.47383	-0.82192	0.014978	1.4571	3.5086	6.2688	2.3572	1.913	0.65489	1.7736	2.0921	-0.64639	0.15086	0.094019	1.2136	0.15521	1	1853390	1935276
GABRD	-1.2797	0.83272	0.87146	1.1136	0.81186	0.13142	0.33754	0.21962	1.4346	2.1411	2.6512	1.3222	1.1433	-0.43493	1.019	0.80549	0.069726	-0.73879	-0.076421	0.56702	-0.79767	1	1950768	1962192
PRKCZ	-1.6353	0.57833	-1.3505	-0.93497	1.3276	0.1255	0.075556	1.6624	1.3743	7.5835	1.0931	0.63093	-0.66299	-0.45597	1.656	0.90747	0.062615	0.76234	0.078483	0.98359	1.6697	1	1981909	2116834
LOC100506504	-1.6934	0.77617	-0.9064	-0.39285	1.6479	-0.028804	0.71279	0.36131	1.6351	6.519	2.2293	0.96097	0.2066	-0.22071	1.4739	-0.053671	-0.6371	0.96585	0.162	1.306	1.8515	1	2113250	2115812
C1orf86	-1.892	0.18894	-0.63879	-0.43456	1.2633	-0.62972	0.8763	0.8015	1.0408	6.1094	2.7015	0.8571	0.90125	-0.30879	1.9437	0.046211	-0.86722	0.37756	0.73865	1.7003	1.8281	1	2115899	2144159
SKI	-1.9197	0.49579	0.61844	0.10282	0.61272	0.23056	1.2145	0.78974	0.98935	6.1094	3.3897	1.0451	1.828	-0.88175	3.0848	0.1014	-0.077808	0.55362	0.87039	1.3692	2.763	1	2160134	2241652
MORN1	1.3866	0.32218	0.26192	-0.14907	-1.6332	-0.97387	0.0045613	-0.11982	2.9419	7.7075	2.2902	0.19119	0.68994	-2.986	2.0398	1.2767	0.72579	0.47654	-1.6825	-1.755	1.9152	1	2251719	2323190
RER1	0.12855	0.35957	0.25804	-0.58492	-1.4063	-0.39198	-0.041458	-0.22197	2.9141	5.8136	1.6355	-0.24126	1.2329	-2.5835	1.3036	0.33282	1.5481	0.60927	-1.7563	-1.5948	0.15563	1	2323214	2336883
PEX10	1.4564	1.1633	-0.44516	-0.79444	-0.81684	-0.62884	1.2478	1.1652	1.7239	3.7978	-0.42173	-1.7375	0.46938	-1.8383	0.7201	2.2037	0.95275	0.75193	-0.77813	-0.11844	1.6686	1	2336241	2344010
PLCH2	1.3423	0.038613	-0.55583	-0.93378	-0.0054602	-1.111	2.8735	-0.26605	1.3652	2.615	-0.28814	0.63666	-1.0173	-1.0798	2.0694	2.821	0.6204	1.2069	0.83519	-0.1485	0.12828	1	2407754	2436964
PANK4	-1.9262	-0.74844	-1.1944	-0.8364	-1.4437	-2.1716	2.7806	0.56543	0.7383	1.9804	1.0673	0.084779	-2.4561	0.12264	1.3902	3.0057	1.3361	1.8109	1.1808	0.69758	1.5425	1	2439975	2458061
HES5	-2.116	-0.70146	-1.0731	-0.56143	-1.2981	-1.4451	1.5361	0.10115	-0.071479	2.3227	1.6908	-1.2821	-2.461	0.14345	0.86416	3.3022	1.6881	2.1594	1.0827	1.0389	1.9042	1	2460184	2461684
TNFRSF14	-2.4199	-1.1035	-1.0032	-0.52863	-1.6094	-0.92497	1.3665	0.13815	-0.52486	2.2262	1.9506	-1.5436	-2.5195	0.026912	0.9961	3.3809	1.7179	2.3965	1.189	1.0799	1.8923	1	2487291	2495268
FAM213B	-2.2682	-1.1892	-1.0576	-0.75404	-1.754	-0.6449	1.5972	-0.13919	-1.3705	1.6376	2.2295	-1.0687	-1.3822	-1.1545	0.9041	2.7943	1.018	1.7154	0.77151	0.7061	1.5345	1	2517899	2522908
MMEL1	-1.5598	-0.92752	-1.4579	-1.1168	-1.5405	-0.52836	1.7731	0.076085	0.19941	1.4066	2.0896	-0.71089	-1.3021	-1.0565	0.82599	2.1819	0.24892	0.49737	0.04702	-0.26852	1.3858	1	2522078	2564499
TTC34	-0.78887	-0.23003	-1.75	-0.19748	-0.36242	-0.50198	0.79717	0.30022	0.78477	1.9366	1.6971	-0.434	-1.1853	-0.58663	-0.046902	2.6188	0.61898	0.045764	-0.17375	-0.49396	0.68607	1	2572807	2706230
ACTRT2	-0.85159	1.6461	-0.0157	1.3137	0.39609	0.47131	1.6416	0.89884	1.8629	1.6649	1.1222	-0.042786	-0.79227	-0.55317	-0.785	1.7291	1.697	-1.2184	-1.1456	-1.2181	0.76661	1	2938046	2939467
PRDM16	1.8271	3.3086	2.4843	3.1036	2.7004	1.017	1.6901	1.0615	3.6649	8.1658	3.9556	0.52929	-0.22249	-0.57254	3.7714	6.6207	2.3943	2.6597	1.6474	0.49961	0.61591	1	2985565	3355185
ARHGEF16	0.40397	0.47185	0.89536	1.0878	-0.53175	0.21883	1.033	0.66315	0.94506	2.4372	1.9599	1.4828	0.93883	0.79279	1.3868	2.4363	1.5955	1.8269	-0.90339	1.8715	-0.8379	1	3371147	3397677
MEGF6	-1.1029	-0.41618	-0.59701	-1.0619	0.5043	-0.94813	0.64208	-0.11492	0.84861	4.3002	1.2556	0.061303	0.97081	-0.11753	0.4096	0.90667	2.4424	0.98213	0.50621	0.15878	0.014727	1	3404506	3528059
TPRG1L	-0.2415	-0.1058	-0.55899	0.011368	1.361	-0.11715	0.68997	1.2171	1.379	4.0791	-1.6304	0.75747	0.54427	-0.1213	0.23936	0.33612	0.86637	1.3667	1.7631	-0.42661	0.80397	1	3541556	3546695
TP73	-1.047	-0.56694	-0.68247	0.36278	1.0248	0.66858	0.56488	0.40478	0.284	4.3274	-1.0271	0.33812	-0.90724	-0.63779	0.23013	0.52297	1.8294	0.71373	0.93795	1.047	1.2049	1	3569129	3652765
WRAP73	-0.62048	-0.019963	-0.006949	-0.20149	0.80188	-0.87903	-1.4374	1.0838	0.87669	4.5663	-1.1197	0.39041	-0.48745	-0.075698	0.99045	1.1413	1.6913	1.4342	1.8343	2.1364	1.3852	1	3547331	3566671
CCDC27	0.15264	-2.0134	-1.6856	-1.5715	-0.24281	0.068647	0.71598	-0.41704	-1.4182	1.619	-0.50678	1.0067	-0.15846	-1.2692	-0.89653	0.63387	0.78339	-0.059066	-0.30746	-2.0962	0.0063341	1	3668965	3688209
SMIM1	0.19889	-1.7547	-1.1721	-2.2378	-0.31593	-0.29271	0.4188	0.1662	-1.0008	2.2952	-1.0838	0.89272	0.099395	-1.0069	-1.728	0.4627	-0.52115	-0.80768	-0.10038	-2.0294	0.42895	1	3689352	3692546
LRRC47	0.032841	-0.07457	0.98463	-1.4211	0.95901	-0.53772	-0.68356	-0.086441	-0.93623	3.7671	-0.72559	-0.87502	-0.39753	-1.423	0.57298	0.48589	-0.14289	-0.98682	0.59598	-0.852	-0.0086513	1	3696784	3713068
CEP104	-0.091557	0.10951	1.9495	-0.92686	1.2455	-0.36552	-0.7249	-0.35631	-0.12362	4.4662	-1.4103	0.049018	-0.48422	-0.82816	0.57577	-0.1316	-0.91483	-0.841	0.11351	-0.44769	-0.75509	1	3728645	3773797
DFFB	-0.075134	-0.037294	1.9566	-0.71139	1.2825	-0.40906	-0.76428	-0.44779	-0.061203	5.1223	-1.6188	0.15418	-0.52134	-0.84368	0.38801	-0.36584	-1.2173	-0.84376	-0.020227	-0.41568	-0.54858	1	3773845	3801993
C1orf174	-0.67745	-0.27262	1.6845	-0.84063	0.95313	-0.69092	-2.3657	-1.41	-0.065671	1.7711	-2.0883	0.38138	0.029116	-1.6868	0.851	-0.668	-0.97059	-1.0656	0.29055	-0.30899	0.64819	1	3805697	3816857
AJAP1	-0.39712	-0.14935	-0.46058	-0.34059	-1.8564	-0.044144	0.46337	-1.5501	0.69037	0.7745	0.30799	-0.073856	0.23181	0.81973	-0.56145	0.54221	0.36312	0.24095	-0.72152	2.0215	-1.123	1	4715105	4843851
NPHP4	-0.43118	0.69584	-0.49831	-0.10685	0.0092394	-0.45938	-1.8888	-0.061476	-0.87495	1.9752	-0.058515	-0.29484	-0.69709	0.18453	0.1868	-0.17917	-1.6936	0.36813	0.63308	0.30435	0.16409	1	5922870	6052618
KCNAB2	-0.34942	1.2096	-0.63461	-0.26209	-0.11265	-1.1989	-0.039266	-0.69636	-1.5054	1.2519	-0.37332	-0.57852	-0.22937	-0.1034	0.038625	-1.197	-1.8453	-0.45979	1.5028	0.72778	-1.0663	1	6052358	6161253
CHD5	-0.73839	-0.22163	0.30241	-0.83382	-0.77	-0.7557	-0.94973	-1.13	1.4027	1.1281	-0.80468	0.034057	1.8066	-0.43414	0.78146	0.11462	-0.18906	0.71773	1.5803	-0.064962	-1.004	1	6161847	6240194
RNF207	1.3839	-0.57891	0.22474	-0.57825	-0.6749	-0.79398	-1.864	-0.58733	0.55255	3.4101	-0.15925	1.512	1.5009	0.79637	-2.0979	0.52842	0.02553	1.5435	0.62679	0.38307	-0.6934	1	6266189	6281359
RPL22	1.6356	-0.56034	0.21138	-0.67936	-0.79345	-0.79342	-1.9115	-0.6539	0.56222	3.4387	-0.21791	1.5124	1.6711	0.99424	-1.7298	0.20161	-0.49228	1.4145	0.89119	0.11272	-0.83032	1	6245080	6259679
HES3	1.3459	-1.0452	-0.51921	-0.13874	-2.7604	-0.95228	-1.151	-0.44687	1.7456	3.9088	0.66902	1.2682	1.9005	1.4959	-1.4408	-0.31369	-1.6459	1.6867	1.1837	-0.015775	-1.0438	1	6304252	6305638
ICMT	1.2448	-0.42763	-0.73463	0.29439	-2.6387	-1.145	-0.73955	-0.28088	2.0491	3.5385	0.58807	0.64962	1.3098	1.3658	-1.3334	0.1326	-1.6216	1.9888	0.95884	-0.23895	-0.057752	1	6281253	6296044
GPR153	0.96613	-0.48135	0.21759	0.40164	0.96687	-0.54031	-1.07	1.3177	2.4456	3.4147	0.45994	-0.98063	-0.60009	0.66782	0.018868	0.40827	-0.14111	1.7792	-0.30144	0.76013	0.69292	1	6307406	6321035
ACOT7	1.2708	-0.16351	0.32358	0.52838	1.4449	0.59421	-1.051	1.2561	0.5015	3.8773	0.42604	-1.7905	-0.58499	-0.34291	1.0656	-0.21952	-0.55266	1.4318	-0.47259	1.26	0.043203	1	6324332	6453826
ESPN	0.84845	-0.87211	-0.8298	-1.3706	0.73656	-0.84759	-1.5465	0.93989	-0.53987	2.8883	0.42199	-2.1003	-0.14883	-0.64661	0.47655	-1.0089	-1.2768	1.2547	-0.56791	0.87159	-1.2139	1	6484836	6521004
HES2	0.83064	-0.84235	-0.6089	-1.5319	0.83494	-1.2216	-1.5465	0.9401	-0.8598	2.7499	0.099422	-1.9951	-0.62306	-0.57682	0.62684	-0.95662	-0.7871	1.272	0.021145	1.0466	-0.8181	1	6475292	6484724
TNFRSF25	-0.28663	-0.93367	-0.68052	-1.0877	-1.2705	-0.14557	-1.4546	0.54983	1.3636	0.95878	1.3011	-1.9989	0.58332	-0.66495	-0.20256	0.45838	-0.88964	-0.028314	-1.8706	0.50474	-0.48829	1	6520787	6527432
PLEKHG5	0.2068	0.26183	0.91025	0.33571	0.81764	0.7357	-1.4202	0.054653	3.4886	6.1094	1.083	1.0948	0.82944	0.25626	0.31435	1.42	-0.51428	0.064825	0.2186	1.6985	-0.31016	1	6526152	6580121
NOL9	0.39144	0.63264	1.0892	0.78118	1.3682	1.0855	-0.52007	-0.48913	3.6077	6.1094	0.070178	1.7994	0.61418	0.89548	0.30026	1.7688	0.04963	0.014233	0.80286	1.9404	0.22427	1	6581407	6614658
