gene	head	arms	legs	pelvis	fn	ls	breadth	peak	min_z	specificity	layer	chr	gene_start	gene_end
SAMD11	1.2957	3.1892	3.1859	3.1417	3.7927	2.923	5	3.7927	1.2957	0.6034999999999999	rest	1	859993	879961
KLHL17	2.1416	4.7096	3.8439	2.9442	3.5092	3.2489	6	4.7096	2.1416	0.8656999999999999	core	1	895967	901099
PLEKHN1	1.9637	4.646	3.875	2.9316	3.5216	3.161	5	4.646	1.9637	0.7709999999999999	rest	1	901872	910488
NOC2L	1.8017	4.5795	3.7907	2.764	3.3778	3.2074	5	4.5795	1.8017	0.7888000000000002	rest	1	879583	894679
PERM1	-0.72181	0.25472	0.88563	0.48999	0.74354	1.1256	0	1.1256	-0.72181	0.2399699999999999	rest	1	910579	917473
ISG15	-0.77439	-0.57566	0.35235	0.45762	0.98341	1.553	0	1.553	-0.77439	0.5695899999999999	rest	1	948847	949920
AGRN	-0.037776	-0.75669	0.35702	0.2591	0.97296	1.9965	0	1.9965	-0.75669	1.02354	rest	1	955503	991499
HES4	-0.48149	-0.47381	0.37197	0.39528	1.1253	1.8775	0	1.8775	-0.48149	0.7522	rest	1	934342	936608
RNF223	-1.2749	-2.0532	-0.67296	-0.56562	-0.68474	1.1673	0	1.1673	-2.0532	1.73292	rest	1	1007126	1009687
C1orf159	-1.2556	-0.11364	-0.29241	-1.3957	0.93817	0.14725	0	0.93817	-1.3957	0.79092	rest	1	1017198	1051736
TTLL10	0.15564	-1.3115	-0.67749	-1.1195	-0.47469	-0.30118	0	0.15564	-1.3115	0.45682	rest	1	1109286	1133315
TNFRSF18	-0.88114	0.20391	0.58709	0.43618	-0.92082	-0.26379	0	0.58709	-0.92082	0.15091	rest	1	1138888	1142163
B3GALT6	-1.1133	0.19031	0.49609	0.39317	-0.90244	-0.45698	0	0.49609	-1.1133	0.10291999999999996	rest	1	1167629	1170421
TNFRSF4	-1.1755	0.14332	0.46145	0.3777	-0.92565	-0.49606	0	0.46145	-1.1755	0.08375000000000005	rest	1	1146706	1149703
SDF4	-1.3089	0.35024	0.53279	0.36053	-1.0676	-0.74454	0	0.53279	-1.3089	0.17225999999999997	rest	1	1152288	1167447
FAM132A	-0.84677	1.2561	1.0299	0.25636	-1.4087	-1.1544	0	1.2561	-1.4087	0.22619999999999996	rest	1	1177826	1182102
